NUMERO_REGISTRO;PRODUTO_TECNICO_MARCA_COMERCIAL;INGREDIENTE_ATIVO(GRUPO_QUIMICI)(CONCENTRACAO);CLASSE;TITULAR_REGISTRO;EMPRESA_<PAIS>_TIPO;CLASSIFICACAO_TOXICOLOGICA;CLASSIFICACAO_AMBIENTAL
4215;2,4 D Técnico Mol;2,4-D (ácido ariloxialcanóico) (973 g/kg);Herbicida;Meghmani Organics Biodefensivos e Agrícolas do Brasil Ltda - Campinas/SP; (Meghmani Organics Ltd. - Unit II - Panoli<ÍNDIA>FABRICANTE);I;III
10116;2,4-D Acid Tecnico;2,4-D (ácido ariloxialcanóico) (980 g/kg);Herbicida;Sharda do Brasil Comércio de Produtos Químicos e Agroquímicos LTDA; (Swati Chemical Industries - Baroda<ÍNDIA>FABRICANTE) +  (Jiangsu Good Harvest - Weien Agrochemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
TC07521;2,4-D Acid Técnico Agrolead ;2,4-D (ácido ariloxialcanóico) (980 g/kg);Herbicida;Agro-Lead Brasil Assessoria em Produtos Agrícolas Ltda - EPP;;PT;III
16012;2,4-D Acido Tecnico Milenia Br;2,4-D (ácido ariloxialcanóico) (970 g/kg);Herbicida;Adama Brasil S.A.- Londrina/PR;;I;III
14012;2,4-D TC Tecnico Prentiss;2,4-D (ácido ariloxialcanóico) (970 g/kg);Herbicida;Prentiss Química Ltda. - Campo Largo/PR;;I;III
TC00523;2,4-D TC Técnico Prentiss II;2,4-D (ácido ariloxialcanóico) (980 g/kg);Herbicida;Prentiss Química Ltda. - Campo Largo/PR; (Adama Huifeng (Jiangsu) Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;III
15612;2,4-D Tecnico Atanor II;2,4-D (ácido ariloxialcanóico) (960 g/kg);Herbicida;Albaugh Agro Brasil Ltda.- São Paulo; (Shandong Weifang Rainbow Chemical Co., Ltd. - Unidade Fabril 01<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Jiangxi Tianyu Chemical Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
114;2,4-D Tecnico OF;2,4-D (ácido ariloxialcanóico) (960 g/kg);Herbicida;Ouro Fino Química S.A. - Uberaba; (Shandong Weifang Rainbow Chemical Co., Ltd. - Unidade Fabril 01<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Jiangsu Lionchem Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
007607;2,4-D Técnico;2,4-D (ácido ariloxialcanóico) (960 g/kg);Herbicida;Globachem Proteção de Cultivos do Brasil Ltda. - Campinas/SP; (Jingjiang Wintafone Chemical Co, Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
7314;2,4-D Técnico AL;2,4-D (ácido ariloxialcanóico) (960 g/kg);Herbicida;AllierBrasil Agro Ltda.;;I;III
20418;2,4-D Técnico Agrisor;2,4-D (ácido ariloxialcanóico) (980 g/kg);Herbicida;CAC Quimica do Brasil Ltda; (CAC Nantong Chemical Co. Ltd. - Jiangsu<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Jiangxi Tianyu Chemical Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
26419;2,4-D Técnico Albaugh;2,4-D (ácido ariloxialcanóico) (980 g/kg);Herbicida;Albaugh Agro Brasil Ltda.- São Paulo; (CAC Nantong Chemical Co. Ltd. - Jiangsu<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
15512;2,4-D Técnico Alta;2,4-D (ácido ariloxialcanóico) (960 g/kg);Herbicida;ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba; (Jiangsu Lionchem Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
03619;2,4-D Técnico Alta II;2,4-D (ácido ariloxialcanóico) (980 g/kg);Herbicida;ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba; (Jiangsu Good Harvest - Weien Agrochemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
16312;2,4-D Técnico Crotect;2,4-D (ácido ariloxialcanóico) (960 g/kg);Herbicida;Crotect Crop Science Ltda - São Paulo/SP; (Shandong Weifang Rainbow Chemical Co., Ltd. - Unidade Fabril 01<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
TC03124;2,4-D Técnico EA;2,4-D (ácido ariloxialcanóico) (980 g/kg);Herbicida;Eastchem do Brasil Ltda - Mogi das Cruzes/SP; (Jiangsu Lionchem Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;III
2316;2,4-D Técnico GH;2,4-D (ácido ariloxialcanóico) (980 g/kg);Herbicida;Suno Agrotech Ltda.;;I;III
2216;2,4-D Técnico GHA;2,4-D (ácido ariloxialcanóico) (980 g/kg);Herbicida;AllierBrasil Agro Ltda.;;I;III
06318;2,4-D Técnico GLB;2,4-D (ácido ariloxialcanóico) (980 g/kg);Herbicida;Globachem Proteção de Cultivos do Brasil Ltda. - Campinas/SP; (CAC Nantong Chemical Co. Ltd. - Jiangsu<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
TC09823;2,4-D Técnico Hanfu;2,4-D (ácido ariloxialcanóico) (980 g/kg);Herbicida;Biorisk - Assessoria e Comércio de Produtos Agrícolas Ltda.;;PT;III
15212;2,4-D Técnico IHARA;2,4-D (ácido ariloxialcanóico) (960 g/kg);Herbicida;Iharabras S.A. Indústria Químicas - Sorocaba; (Jiangsu Good Harvest - Weien Agrochemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Jiangsu Wintafone Cropscience Co. Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Jiangsu Lionchem Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
17417;2,4-D Técnico Milenia;2,4-D (ácido ariloxialcanóico) (980 g/kg);Herbicida;Adama Brasil S.A.- Londrina/PR; (Adama Ltd. (Planta 1)  <CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
3216;2,4-D Técnico ND;2,4-D (ácido ariloxialcanóico) (980 g/kg);Herbicida;Dinagro Agropecuária Ltda.;;I;III
TC02426;2,4-D Técnico NGC;2,4-D (ácido ariloxialcanóico) (980 g/kg);Herbicida;Syncrom Assessoria e Comércio de Produtos Agropecuários  Ltda.; (Capital Industry Construction Technology Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;III
03208;2,4-D Técnico Nortox;2,4-D (ácido ariloxialcanóico) (960 g/kg);Herbicida;Nortox S.A. - Arapongas; (Jiamusi Heilong Agricultural and Industrial Chemical Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Adama Ltd. (Planta 1)  <CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Changzhou Wintafone Chemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
03719;2,4-D Técnico Nortox CH;2,4-D (ácido ariloxialcanóico) (980 g/kg);Herbicida;Nortox S.A. - Arapongas; (Jiangsu Good Harvest - Weien Agrochemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (CAC Nantong Chemical Co. Ltd. - Jiangsu<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
TC09923;2,4-D Técnico Nortox IV;2,4-D (ácido ariloxialcanóico) (980 g/kg);Herbicida;Nortox S.A. - Arapongas; (Weihai Hanfu Biochemical Medicine Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;III
37017;2,4-D Técnico Ouro Fino;2,4-D (ácido ariloxialcanóico) (980 g/kg);Herbicida;Ouro Fino Química S.A. - Uberaba; (CAC Nantong Chemical Co. Ltd. - Jiangsu<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Jiangxi Tianyu Chemical Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
16707;2,4-D Técnico Prentiss;2,4-D (ácido ariloxialcanóico) (980 g/kg);Herbicida;Prentiss Química Ltda. - Campo Largo/PR;;I;III
15912;2,4-D Técnico Rainbow;2,4-D (ácido ariloxialcanóico) (960 g/kg);Herbicida;Rainbow Defensivos Agrícolas Ltda.- Porto Alegre /RS ; (Shandong Weifang Rainbow Chemical Co., Ltd. - Unidade Fabril 01<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
17217;2,4-D Técnico SD BRA;2,4-D (ácido ariloxialcanóico) (980 g/kg);Herbicida;BRA Defensivos Agrícolas Ltda - Piracicaba/SP; (Adama Ltd. (Planta 1)  <CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Jiangxi Tianyu Chemical Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Agrow Allied Ventures Pvt.Ltd.<ÍNDIA>FABRICANTE);I;III
14014;2,4-D Técnico SR-Cropchem;2,4-D (ácido ariloxialcanóico) (960 g/kg);Herbicida;Cropchem Ltda - Porto Alegre; (Ningxia Wynca Technology Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
514;2,4-D Técnico SWT;2,4-D (ácido ariloxialcanóico) (960 g/kg);Herbicida;Rainbow Defensivos Agrícolas Ltda.- Porto Alegre /RS ; (Shandong Weifang Rainbow Chemical Co., Ltd. - Unidade Fabril 01<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
39719;2,4-D Técnico Solus;2,4-D (ácido ariloxialcanóico) (980 g/kg);Herbicida;Solus do Brasil Ltda. - Apucarana/PR- Parque Industrial ; (Jiangsu Good Harvest - Weien Agrochemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
TC10221;2,4-D Técnico TJX;2,4-D (ácido ariloxialcanóico) (980 g/kg);Herbicida;CAC Quimica do Brasil Ltda; (Jiangxi Tianyu Chemical Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;III
11208;2,4-D Técnico UPL Brasil;2,4-D (ácido ariloxialcanóico) (980 g/kg);Herbicida;UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava/SP ; (Jiamusi Heilong Agricultural and Industrial Chemical Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
19619;2,4-D Técnico WI-Cropchem;2,4-D (ácido ariloxialcanóico) (970 g/kg);Herbicida;Cropchem Ltda - Porto Alegre; (Ningxia Wynca Technology Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
TC10023;2,4-D Técnico Xinlong;2,4-D (ácido ariloxialcanóico) (980 g/kg);Herbicida;Biorisk - Assessoria e Comércio de Produtos Agrícolas Ltda.; (Weihai Hanfu Biochemical Medicine Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;III
2416;2,4-D Técnico ZHC;2,4-D (ácido ariloxialcanóico) (980 g/kg);Herbicida;AllierBrasil Agro Ltda.; (Jiangsu Good Harvest - Weien Agrochemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
TC13825;2,4-D Técnico ZS II;2,4-D (ácido ariloxialcanóico) (980 g/kg);Herbicida;Zhongshan Química do Brasil - Sorocaba/SP; (Anhui Zhongshan Chemical Industry Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;III
1638803;2,4-D Ácido Seco Técnico;2,4-D (ácido ariloxialcanóico) (970 g/kg);Herbicida;CTVA Proteção de Cultivos Ltda - Barueri (Tamboré);;I;III
06201;2,4-D Ácido Técnico BR;2,4-D (ácido ariloxialcanóico) (940 g/kg);Herbicida;Adama Brasil S.A.- Londrina/PR; (Nufarm GmbH & CO KG - Linz<ÁUSTRIA>FABRICANTE) +  (Nufarm Australia Limited - Pipe<AUSTRÁLIA>FABRICANTE) +  (Nufarm Inc. - Glenwood<ESTADOS UNIDOS>FABRICANTE) +  (Adama Brasil S.A.- Londrina/PR<BRASIL>FABRICANTE);II;III
10708;2,4-D Ácido Técnico MIl;2,4-D (ácido ariloxialcanóico) (940 g/kg);Herbicida;Adama Brasil S.A.- Londrina/PR; (Adama Brasil S.A. - Taquari<BRASIL>FABRICANTE) +  (Adama Brasil S.A.- Londrina/PR<BRASIL>FABRICANTE);I;III
02703;2,4-D Ácido Técnico Milenia;2,4-D (ácido ariloxialcanóico) (940 g/kg);Herbicida;Adama Brasil S.A.- Londrina/PR; (Atanor S.C.A - Córdoba<ARGENTINA>FABRICANTE) +  (Adama Brasil S.A.- Londrina/PR<BRASIL>FABRICANTE);IV;III
13214;2,4-D Ácido Técnico Tecnomyl;2,4-D (ácido ariloxialcanóico) (960 g/kg);Herbicida;Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda - Foz do Iguaçu; (Jiangsu Huangma Agrochemicals Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Jiangsu Good Harvest - Weien Agrochemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
TC12524;A-Star Técnico;cletodim (oxima ciclohexanodiona) (950 g/kg);Herbicida;Biorisk - Assessoria e Comércio de Produtos Agrícolas Ltda.; (Hebei Lansheng Biotech Co., Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;III
05803;Abamectim Técnico Rotam;Abamectina (avermectina) (950 g/kg);Acaricida/Inseticida;Albaugh Agro Brasil Ltda.- São Paulo; (Corteva Agriscience LLC - Valdosta- Georgia<ESTADOS UNIDOS>FABRICANTE) +  (Rotam Agrochemical Co. Ltd., Hong Kong (Escritorio)<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
9514;Abamectin Tecnico CCAB II;Abamectina (avermectina) (910.4 g/kg);Acaricida/Inseticida/Nematicida;CCAB Agro S.A.   São Paulo; (North China Pharmaceutical Group Aino Co., Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
10014;Abamectin Técnico CCAB III;Abamectina (avermectina) (900 g/kg);Inseticida;CCAB Agro S.A.   São Paulo; (Inner Mongolia New Veyong Bio-Chemical CO.<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
02419;Abamectin Técnico Jubaili;Abamectina (avermectina) (900 g/kg);Acaricida/Inseticida/Nematicida;Jubailireg Brasil Ltda - São Paulo/SP; (Inner Mongolia New Veyong Bio-Chemical CO.<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
01001;Abamectin Técnico Nortox;Abamectina (avermectina) (930 g/kg);Acaricida/Inseticida;Nortox S.A. - Arapongas; (Zhejiang Hisun Pharmaceutical Company Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
10514;Abamectin Técnico Nortox BR;Abamectina (avermectina) (976 g/kg);Inseticida;Nortox S.A. - Arapongas; (Inner Mongolia New Veyong Bio-Chemical CO.<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
606;Abamectin Técnico Prentiss ;Abamectina (avermectina) (950 g/kg);Acaricida/Inseticida;Prentiss Química Ltda. - Campo Largo/PR; (Sinon Corporation - Taiwan<TAIWAN (ILHA FORMOSA)>FABRICANTE);I;III
2305;Abamectin Técnico Sinon;Abamectina (avermectina) (950 g/kg);Acaricida/Inseticida;Sinon do Brasil Ltda. - Porto Alegre /RS.; (Sinon Corporation - Taiwan<TAIWAN (ILHA FORMOSA)>FABRICANTE);I;III
9114;Abamectin Técnico Syn;Abamectina (avermectina) (900 g/kg);Acaricida/Inseticida;Syngenta Proteção de Cultivos Ltda.  São Paulo/SP; (North China Pharmaceutical Group Aino Co., Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Qilu Pharmaceutical (Inner Mongolia) Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
10214;Abamectin Técnico Syngenta HV;Abamectina (avermectina) (976 g/kg);Inseticida;Syngenta Proteção de Cultivos Ltda.  São Paulo/SP; (Inner Mongolia New Veyong Bio-Chemical CO.<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
11314;Abamectin Técnico Tecnomyl;Abamectina (avermectina) (900 g/kg);Acaricida/Inseticida/Nematicida;Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda - Foz do Iguaçu; (Inner Mongolia New Veyong Bio-Chemical CO.<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
12714;Abamectin Técnico UPL;Abamectina (avermectina) (900 g/kg);Acaricida/Inseticida/Nematicida;UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava/SP ; (Inner Mongolia New Veyong Bio-Chemical CO.<CHINA, REPUBLICA POPULAR>FABRICANTE);I;I
16808;Abamectin Técnico UPL BR;Abamectina (avermectina) (950 g/kg);Inseticida;UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava/SP ; (Inner Mongolia New Veyong Bio-Chemical CO.<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (North China Pharmaceutical Group Aino Co., Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
13215;Abamectina Tradecorp Técnico;Abamectina (avermectina) (960 g/kg);Inseticida;Agroallianz S.A; (Huashu New Chemic Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
9914;Abamectina Técnico Cropchem ;Abamectina (avermectina) (900 g/kg);Acaricida/Inseticida/Nematicida;Cropchem Ltda - Porto Alegre;;I;III
10314;Abamectina Técnico OF;Abamectina (avermectina) (900 g/kg);Inseticida;Ouro Fino Química S.A. - Uberaba; (Inner Mongolia New Veyong Bio-Chemical CO.<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
9614;Abamectina Técnico Ouro Fino;Abamectina (avermectina) (900 g/kg);Inseticida;Ouro Fino Química S.A. - Uberaba; (North China Pharmaceutical Group Aino Co., Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
11614;Abamectina Técnico Sumitomo ;Abamectina (avermectina) (900 g/kg);Acaricida/Inseticida/Nematicida;Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE;;I;III
03903;Abamex Técnico ;Abamectina (avermectina) (950 g/kg);Acaricida/Inseticida;Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE; (Sinochem Internacional Chemical CO.<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
13314;Acefato Tecnico CCAB;acefato (organofosforado) (970 g/kg);Inseticida;CCAB Agro S.A.   São Paulo; (Coromandel International Limited. - Unit I - Sarigam<ÍNDIA>FABRICANTE) +  (GSP Crop Science Limited - Ahmedabad 2<ÍNDIA>FABRICANTE);III;II
01918;Acefato Tecnico CN;acefato (organofosforado) (980 g/kg);Inseticida;Albaugh Agro Brasil Ltda.- São Paulo; (Adama Ltd. (Planta 1)  <CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Nantong Weilike Chemical Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
15718;Acefato Tecnico Rainbow;acefato (organofosforado) (980 g/kg);Inseticida;Rainbow Defensivos Agrícolas Ltda.- Porto Alegre /RS ; (Shandong Weifang Rainbow Chemical Co., Ltd. - Unidade Fabril 01<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
15618;Acefato Tecnico SUP;acefato (organofosforado) (980 g/kg);Inseticida;Sipcam Nichino Brasil S.A. - Uberaba/MG; (Jiangsu Lanfeng Biochemical Co. Ltd - Planta 2 Suhua<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
7610;Acefato Tecnico Sabero;acefato (organofosforado) (980 g/kg);Inseticida;Coromandel América S.A;;III;II
01418;Acefato Técnico Adama BR;acefato (organofosforado) (980 g/kg);Inseticida;Adama Brasil S.A.- Londrina/PR; (Hubei Sanonda Co., Ltd. <CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Adama Ltd. (Planta 2)<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
15818;Acefato Técnico Agrogill;acefato (organofosforado) (980 g/kg);Inseticida;Agrogill Chemicals Ltda; (Jiangsu Lanfeng Biochemical Co. Ltd - Planta 2 Suhua<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
16118;Acefato Técnico Agroimport;acefato (organofosforado) (980 g/kg);Acaricida/Inseticida;Agro Import do Brasil Ltda. - Porto Alegre/RS; (Jiangsu Lanfeng Biochemical Co. Ltd - Planta 2 Suhua<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
05419;Acefato Técnico CCAB II;acefato (organofosforado) (980 g/kg);Acaricida/Inseticida;CCAB Agro S.A.   São Paulo; (Jiangsu Lanfeng Biochemical Co. Ltd - Planta 2 Suhua<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (GSP Crop Science Limited - Navrangpura<ÍNDIA>FABRICANTE);III;II
2311;Acefato Técnico Consagro;acefato (organofosforado) (970 g/kg);Acaricida/Inseticida;Albaugh Agro Brasil Ltda.- São Paulo; (Jiahua Group CO.,LTD.<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
TC13922;Acefato Técnico Crystal;acefato (organofosforado) (980 g/kg);Inseticida;Crystal Agro Ltda; (Nantong Weilike Chemical Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
TC08820;Acefato Técnico FB;acefato (organofosforado) (980 g/kg);Inseticida;Agroallianz S.A; (GSP Crop Science Limited - Ahmedabad 2<ÍNDIA>FABRICANTE);PT;II
40219;Acefato Técnico FI;acefato (organofosforado) (980 g/kg);Inseticida;Agroallianz S.A; (Jiangsu Lanfeng Biochemical Co. Ltd - Planta 2 Suhua<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
14189;Acefato Técnico Fersol;acefato (organofosforado) (950 g/kg);Acaricida/Inseticida;Ameribrás Indústria e Comércio Ltda.; (Jiangsu Lanfeng Biochemical Co. Ltd - Planta 2 Suhua<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Nantong Weilike Chemical Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);III;III
09819;Acefato Técnico GSP ;acefato (organofosforado) (980 g/kg);Acaricida/Inseticida;GSP Agroquímica do Brasil Ltda - Porto Alegra/RS; (GSP Crop Science Limited - Ahmedabad 1<ÍNDIA>FABRICANTE);III;II
4807;Acefato Técnico Nortox;acefato (organofosforado) (970 g/kg);Acaricida/Inseticida;Nortox S.A. - Arapongas; (UPL Limited - Unit 2 - Akleshwar<ÍNDIA>FABRICANTE) +  (Jiangsu Lanfeng Biochemical Co. Ltd - Planta 2 Suhua<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
TC12222;Acefato Técnico Nortox II;acefato (organofosforado) (980 g/kg);Inseticida;Nortox S.A. - Arapongas; (Nantong Weilike Chemical Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
9113;Acefato Técnico Ouro Fino;acefato (organofosforado) (970 g/kg);Inseticida;Ouro Fino Química S.A. - Uberaba; (Ningbo Sunjoy Agroscience Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Jiangsu Lanfeng Biochemical Co. Ltd - Planta 2 Suhua<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
TC00920;Acefato Técnico RL;acefato (organofosforado) (980 g/kg);Inseticida;AllierBrasil Agro Ltda.; (Rallis Índia Limited - Maharashtra<ÍNDIA>FABRICANTE);PT;II
7310;Acefato Técnico SB;acefato (organofosforado) (975 g/kg);Inseticida;UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava/SP ;;III;II
4014;Acefato Técnico SD;acefato (organofosforado) (970 g/kg);Acaricida/Inseticida;Sharda do Brasil Comércio de Produtos Químicos e Agroquímicos LTDA; (Sharda Cropchem Limited - Gujarat<ÍNDIA>FABRICANTE);III;II
3706;Acefato Técnico Sinon;acefato (organofosforado) (980 g/kg);Acaricida/Inseticida;Sinon do Brasil Ltda. - Porto Alegre /RS.; (Sinon Corporation - Taiwan<TAIWAN (ILHA FORMOSA)>FABRICANTE) +  (Sinon Chemical CO. Ltd - Hubei/Shanghai<CHINA, REPUBLICA POPULAR>FABRICANTE);III;III
TC13822;Acefato Técnico Solus;acefato (organofosforado) (980 g/kg);Inseticida;Solus do Brasil Ltda. - Apucarana/PR- Parque Industrial ; (Nantong Weilike Chemical Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
3609;Acefato Técnico Sumitomo;acefato (organofosforado) (980 g/kg);Acaricida/Inseticida;Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE; (UPL Limited - Uniphos House - Mumbai (Escritório)<ÍNDIA>FABRICANTE);III;II
14614;Acefato Técnico Sumitomo BR;acefato (organofosforado) (980 g/kg);Acaricida/Inseticida;Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE; (Coromandel International Limited. - Unit I - Sarigam<ÍNDIA>FABRICANTE);III;II
TC12122;Acefato Técnico Syncrom;acefato (organofosforado) (980 g/kg);Inseticida;Eastchem do Brasil Ltda - Mogi das Cruzes/SP; (Nantong Weilike Chemical Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
25019;Acefato Técnico Tide;acefato (organofosforado) (980 g/kg);Inseticida;Tide do Brasil Ltda - Porto Alegre/RS; (Jiangsu Lanfeng Biochemical Co. Ltd - Planta 2 Suhua<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
3709;Acefato Técnico UPL;acefato (organofosforado) (985 g/kg);Acaricida/Inseticida;UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava/SP ; (UPL Limited - Jhagadia<ÍNDIA>FABRICANTE);III;II
01818;Acefato Técnico UPL BR;acefato (organofosforado) (980 g/kg);Herbicida;UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava/SP ; (Adama Ltd. (Planta 1)  <CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
12615;Acefato Técnico UPL Brasil;acefato (organofosforado) (990 g/kg);Acaricida/Inseticida;UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava/SP ; (Punjab Chemicals & Crop Protetion Ltd.<ÍNDIA>FABRICANTE);III;II
TC04926;Acefato Técnico ZS;acefato (organofosforado) (980 g/kg);Inseticida;Zhongshan Química do Brasil - Sorocaba/SP; (Jiangsu Lanfeng Biochemical Co., Ltd. - Planta 1<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
16218;Acephate Technical;acefato (organofosforado) (980 g/kg);Inseticida;Albaugh Agro Brasil Ltda.- São Paulo; (Jiangsu Lanfeng Biochemical Co. Ltd - Planta 2 Suhua<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
01500;Acephate Técnico;acefato (organofosforado) (980 g/kg);Acaricida/Inseticida;Sipcam Nichino Brasil S.A. - Uberaba/MG; (Coromandel International Limited. - Unit I - Sarigam<ÍNDIA>FABRICANTE) +  (Jiangsu Lanfeng Biochemical Co. Ltd - Planta 2 Suhua<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Nichino Chemical India Private Limited (Medak - Unit 1)<ÍNDIA>FABRICANTE);III;III
10917;Acetamiprid Ascenza Técnico;acetamiprido (neonicotinóide) (990 g/kg);Inseticida;Ascenza Brasil Ltda - Hortolândia/SP; (Jiangsu Yangnong Chemical Co. Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Huaian Glory Chemical Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Shandong United Pesticide Industry Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
08618;Acetamiprid SHCC Técnico ;acetamiprido (neonicotinóide) (990.3 g/kg);Inseticida;Globachem Proteção de Cultivos do Brasil Ltda. - Campinas/SP; (Shaanxi Hengtian Chemical Co. Ltd -  Weinan<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
